,object id,model,filter,chi2,reduced chi2,p-value,a,b,c,sig a,sig b,sig c,num points,TNS classified,color change,snia confidence,rise time,redshift
0,ZTF24aawgyps,power,g,4.1226326102374785e-18,-4.1226326102374785e-18,,13.916303446802296,-6.113334385693411,0.6295882853295165,inf,inf,inf,2,,none,0.771,9.98495370009914,
1,ZTF24aawgyps,power,r,7.697001279961161e-17,-7.697001279961161e-17,,17.068634234886886,-4.124499759927937,0.5541907577423435,inf,inf,inf,2,,none,0.771,9.98495370009914,
2,ZTF24aawajih,sigmoid,r,0.1062582190059451,0.0531291095029725,0.9482575755143156,131.89185768561669,4.113594066388373,0.3580705340979654,0.002440289862838,0.2246735365796434,0.0198362323290811,5,SN Ia,none,0.757,13.032465299591422,0.0497
3,ZTF24aawajih,power,g,7.6386937147412e-09,-7.6386937147412e-09,,10.565049921570214,-2.50511052314936,0.8262146166886943,inf,inf,inf,2,SN Ia,none,0.757,13.032465299591422,0.0497
4,ZTF24aawajih,power,r,2.073849122961237,1.0369245614806184,0.3545433833615397,20.199038284615735,-1.3206346546842624,0.7019281713406768,0.0120877133747873,1.1847435707081966,0.2125439400809675,5,SN Ia,none,0.757,13.032465299591422,0.0497
5,ZTF24aawavgt,sigmoid,g,0.1985177127583243,0.0992588563791621,0.9055082810884598,104.58223248061714,2.1359575007892877,0.4661550989489471,0.0017969629984386,0.1515617232717179,0.0318265700904935,5,,none,0.8190000000000001,13.079108799807727,
6,ZTF24aawavgt,sigmoid,r,1.605890470597906,0.802945235298953,0.4480075315114602,94.03170441288852,2.614113473026424,0.3809979905049002,0.0068765846708076,0.9173157915193436,0.1024108013566,5,,none,0.8190000000000001,13.079108799807727,
7,ZTF24aawavgt,power,g,0.3018528493516377,0.1509264246758188,0.8599109645597567,43.14844261508062,-0.2447200931241417,0.3501964419098399,0.0038279999775944,0.1287265758361058,0.0370108692231032,5,,none,0.8190000000000001,13.079108799807727,
8,ZTF24aawavgt,power,r,0.880286384193939,0.4401431920969695,0.6439442067598204,43.525240260168786,-0.1574873826019032,0.2987637512882238,0.0127826950125353,0.282811200336556,0.1221570484440854,5,,none,0.8190000000000001,13.079108799807727,
9,ZTF24aawjctx,sigmoid,g,0.0005982671428654,0.0005982671428654,0.9804860883171462,385.7869494219329,2.7391084879171173,0.3876327240443489,0.0005503597373937,0.0114096676919555,0.0020368279016794,4,,none,0.673,10.88983799982816,
10,ZTF24aawjctx,sigmoid,r,0.7332564651034232,0.244418821701141,0.8653551979208347,353.43642796353964,2.879124287683934,0.2520344027142742,0.0128073806490415,0.3738032734696625,0.0280961732044324,6,,none,0.673,10.88983799982816,
11,ZTF24aawjctx,power,g,2.22116371390854,2.22116371390854,0.1361304165547281,130.81969607755752,-4.927977612228804e-16,0.4466800787829617,0.0891332974426412,2.499144737302579,0.2563409820704482,4,,none,0.673,10.88983799982816,
12,ZTF24aawjctx,power,r,3.3183692609269615,1.1061230869756538,0.345094157861909,86.02069014002618,-1.7601088744232016,0.4974998998959178,0.0342777742874604,1.507165491777192,0.1358659374693615,6,,none,0.673,10.88983799982816,
13,ZTF24aavzglr,sigmoid,r,2.8696207071742176e-30,inf,,137.2391229289765,0.7497699155271821,0.3729270150836892,inf,inf,inf,3,SN Ia,none,0.714,10.005439800210295,0.064
14,ZTF24aavzglr,power,g,3.8104241956050734e-21,-3.8104241956050734e-21,,31.036039859875512,-6.3432888565673275,0.4750152768948743,inf,inf,inf,2,SN Ia,none,0.714,10.005439800210295,0.064
15,ZTF24aavzglr,power,r,6.900279944673661e-27,inf,,83.38247515564817,-0.18061205569681,0.2012419467394028,inf,inf,inf,3,SN Ia,none,0.714,10.005439800210295,0.064
